"ID","text","rating"
"1","My wife told me to stop impersonating a flamingo. I had to put my foot down.","PG"
"2","I went to buy some camo pants but couldn't find any.","G"
"3","I failed math so many times at school... I can't even count.","PG"
"4","I used to have a handle on life... but then it broke.","R"
"5","I was wondering why the frisbee kept getting bigger and bigger, but then it hit me.","PG"
"6","I heard there were a bunch of break-ins over at the car park. That is wrong on so many levels.","R"
"7","I want to die peacefully in my sleep... like my grandfatherâ€¦ Not screaming and yelling like the passengers in his car.","R"
"8","When life gives you melons... you might be dyslexic.","R"
"9","Don't you hate it when someone answers their own questions? I do.","G"
"10","It takes a lot of balls to golf the way I do.","R"
